#Source: http://rochester.nydatabases.com/sites/default/files/popular%20names_0.csv
#Name,Number
Cali,187
Nicky,187
Bob,186
Liberty,186
Patch,186
Moses,185
Polly,185
Sammie,185
Archie,184
Homer,184
Montana,184
Baron,183
Isabelle,183
Jenna,183
Tiffany,183
Hailey,179
Kodiak,179
Crystal,178
Kody,178
Magic,178
Hudson,177
Paco,177
Ruger,177
Titan,177
Caesar,176
Chief,176
Fiona,176
Ty,176
Billy,175
Bruiser,175
Molson,175
April,174
Annabelle,174
Ernie,174
Guiness,174
Flash,173
Kodi,173
Carly,172
Mugsy,172
Natasha,172
Olive,172
Chipper,171
Mimi,171
Kane,170
Lexus,170
Jill,169
Trouble,169
Rebel,168
Sunshine,168
Rambo,167
Mercedes,166
Lizzy,165
Lucas,165
Spunky,165
Summer,165
Athena,164
Maxie,164
Miles,164
Ally,163
Cash,163
Darby,163
Barkley,162
Chopper,161
Wilson,161
Ashley,160
Pugsley,160
Sky,160
Levi,158
Phoenix,158
Wally,158
Madeline,157
Megan,157
Ralph,157
Tobey,157
Dodger,156
Kona,156
Shea,156
Puppy,154
Bingo,152
Angie,151
Jordan,151
Major,151
Tipper,151
Rocko,150
Rocket,149
Shorty,149
Cassidy,148
Charlotte,147
Freddie,147
Roxanne,147
Tina,147
Shamus,146
Sully,146
Ivy,145
Joe,145
Noel,145
Dino,143
Panda,143
Ricky,143
Stanley,143
Dottie,142
Georgia,142
Jojo,142
N/A,142
Nick,142
Maxx,141
Sweet Pea,141
Tiki,141
Toto,141
Diva,140
Kali,140
Nemo,140
Ringo,140
Stormy,140
Darla,139
Amy,138
Baby Girl,138
Digger,138
Faith,138
Kira,138
Domino,137
Peppy,137
Buttercup,134
Cinder,134
Finnegan,134
Murray,134
Tilly,134
Anna,133
Echo,133
Ike,133
Mackenzie,133
Nakita,133
Ali,132
Doc,132
Joy,132
Meg,132
Suzy,131
Ceasar,130
Emmy,130
Jet,130
Shannon,130
Tonka,130
Brooklyn,129
Cujo,129
Hooch,129
Julie,129
Dog,128
Little Bear,128
Shane,128
Betsy,127
China,127
Kia,127
Kiki,127
Niki,127
Ripley,127
Skeeter,127
Zoie,127
Bambi,126
Becky,126
Dora,126
Jazzy,126
Timmy,126
Ava,125
Jersey,125
Kate,125
Shaggy,125
Diego,124
Spirit,124
Betty,123
Bruce,123
Misha,123
Dillon,122
Mike,122
Shasta,122
Tommy,122
Tuffy,122
Wyatt,122
Alice,121
Charley,121
Nugget,121
Nicki,120
Aspen,119
Beauty,119
Chevy,119
Leah,119
Pepe,119
Sheeba,119
Bullet,118
Little Bit,118
Violet,118
Odin,117
Ariel,116
Drake,116
Maggie May,116
Sammi,116
Danny,115
Destiny,115
Griffin,115
Hans,115
Jacob,115
Kramer,115
Dooley,114
Penelope,114
Tinker,114
Clover,113
Dewey,113
Jerry,113
Jewels,113
Maisy,113
Marty,113
Quinn,113
Rico,113
Taco,113
Brooke,112
Sheena,112
Cloe,111
Frank,111
Isis,111
Juno,111
Black Jack,110
Chi Chi,110
Kc,110
Finn,109
Kaylee,109
Mckenzie,109
Tony,109
Blondie,108
Calvin,108
Mika,108
Paige,108
Paris,108
Poppy,108
Trevor,108
Unknown,108
Amos,107
Bucky,107
Duchess,107
Gabriel,107
Java,107
Jj,107
Lila,107
Benjamin,106
Gunther,106
Hogan,106
Lincoln,106
Muffy,106
Coal,105
Cubby,105
Shep,105
Chewie,104
Cheyanne,104
Asia,103
Bart,103
Bell,103
Bianca,103
Dunkin,103
Fenway,103
Matilda,103
Yoda,103
Baylee,102
Capone,102
Jd,102
Lassie,102
Magnum,102
Tori,102
Coby,101
Frosty,101
Luca,101
Mariah,101
Pippin,101
Deuce,100
Elmo,100
Mookie,100
Buddie,99
Shania,99
Snowy,99
Travis,99
Alexis,98
Blizzard,98
Boo Boo,98
Genny,98
Ralphie,98
Harvey,97
Hemi,97
Kahlua,97
Mabel,97
Mick,97
Oakley,97
Suki,97
Trigger,97
Yankee,97
Zach,97
Bobby,96
Kaiser,96
Killian,96
Kipper,96
Pal,96
Remi,96
Socks,96
Walter,96
Nitro,95
Bogey,94
Jamie,94
Laddie,94
Justice,93
Karma,93
Nikko,93
Nutmeg,93
Alfie,92
Cj,92
Kiara,92
Manny,92
Radar,92
Scarlet,92
Sherman,92
Skyler,92
Spice,92
Whiskey,92
Baily,91
Bobo,91
Captain,91
Clifford,91
Katy,91
Keisha,91
Kita,91
Turbo,91
Yoshi,91
Jimmy,90
Moxie,90
Norman,90
Scooby Doo,90
Sienna,90
Squirt,90
Titus,90
Zorro,90
Floyd,89
Goliath,89
Grady,89
Lakota,89
Owen,89
Sami,89
Shamrock,89
Snoop,89
Tango,89
Trinity,89
Truman,89
Aurora,88
Curly,88
Foster,88
Freddy,88
Meeko,88
Rowdy,88
Skip,88
Skittles,88
Snowflake,88
Sport,88
Bowser,87
Dash,87
Nicholas,87
Porter,87
Rylee,87
Addie,86
Brewster,86
Fletcher,86
Kylie,86
Patrick,86
Barley,85
Benson,85
Maxi,85
Nelly,85
Opie,85
Pierre,85
Rory,85
Skylar,85
Bugsy,84
Dj,84
Eva,84
Georgie,84
Gretta,84
Scottie,84
Axel,83
Jed,83
Kiwi,83
Kobi,83
Lightning,83
